K,A0_fd_MHz_mm,A0_vg_m_s,A1_fd_MHz_mm,A1_vg_m_s,A2_fd_MHz_mm,A2_vg_m_s,S0_fd_MHz_mm,S0_vg_m_s,S1_fd_MHz_mm,S1_vg_m_s,S2_fd_MHz_mm,S2_vg_m_s
0.04,0.0015972284779412096,346.0076087439839,1.5668045761928868,391.05731143291587,4.695033234431182,7.2791585717654455,0.06923864279950989,5436.144077793659,3.1158737655744697,-1735.1668221000416,3.1749943649013743,1923.9826875998338
0.07073359073359073,0.004982153708681996,440.3484855844124,1.570630213914959,497.85714736957743,4.695104445025647,9.371175148466136,0.12241938444175796,5434.601487910289,3.098898965578044,-1755.6625584847934,3.193816313835983,1996.9683338707255
0.10146718146718148,0.010212915887729076,626.8942629974637,1.5765454557391676,709.2630625136517,4.69521658720378,13.648317445185967,0.1755699443695873,5430.8343453423395,3.081523153965352,-1764.205637846666,3.214066271573294,2110.6026745743875
0.1322007722007722,0.01724772333317461,808.5233034406766,1.5845073794735427,915.6161661036022,4.695371482702912,18.14424572320422,0.228676979563747,5425.690614655734,3.0643812033968034,-1730.583768540324,3.2351115458753563,2182.3360069375194
0.16293436293436295,0.026032168761345665,984.0406527072666,1.5944600459620166,1115.6805754597153,4.69557159046723,22.92350147216348,0.281726899255112,5419.140949514152,3.047663224218101,-1683.046494311362,3.2567650101279284,2240.501166833099
0.19366795366795367,0.036501080480520136,1152.4513765172096,1.6063363522122043,1308.4206507303752,4.6958199950277795,28.049298644589726,0.3347057862454149,5411.147814649836,3.031451369490638,-1628.938829993538,3.278948321353487,2292.529147857247
0.22440154440154442,0.04858058470939745,1312.975177240788,1.620060096141009,1493.0156590138504,4.696120392148391,33.58325504299137,0.3875993153650631,5401.665158032647,3.015792039853145,-1570.8165764839214,3.3016197448718247,2341.065092729841
0.25513513513513514,0.06219024275594927,1465.047828482354,1.6355481166149137,1668.8612528152153,4.696477071950094,39.5851470559428,0.4403926683796567,5390.638013801872,3.0007173825594977,-1509.7308586447616,3.3247526915403354,2387.253538011515
0.28586872586872586,0.07724514140439898,1608.3114094581506,1.652712387122504,1835.5597462770384,4.696894899758316,46.11269081546925,0.49307044467892447,5378.002037434126,2.9862532323476962,-1446.151992135594,3.348327820236546,2431.663022590772
0.3166023166023166,0.09365783902370231,1742.5960384640753,1.6714619655632619,1992.9018856824114,4.6973792949455095,53.22135197784519,0.5456165670885178,5363.682974657153,2.972422534458121,-1380.2901623868675,3.372329665628886,2474.6075435683597
