K,A0_fd_MHz_mm,S0_fd_MHz_mm,A0_vg_m_s,S0_vg_m_s
0.04,0.001597228477897169,0.06923864279947627,346.00760875627543,5436.144077797105
0.07073359073359073,0.004982153708758201,0.12241938444175804,440.3484856454082,5434.601487867278
0.10146718146718148,0.010212915888878453,0.1755699443687122,626.8942629921155,5430.83434534046
0.1322007722007722,0.01724772333314617,0.2286769795637103,808.5233033795632,5425.690614700243
0.16293436293436295,0.026032168761299324,0.28172689925510774,984.040652708529,5419.140949515966
0.19366795366795367,0.036501080480516396,0.33470578624541375,1152.4513765193867,5411.147814649987
0.22440154440154442,0.0485805847093937,0.3875993153650617,1312.9751772407958,5401.665158032585
0.25513513513513514,0.062190242755945695,0.44039266837965424,1465.047828396181,5390.638013801759
0.28586872586872586,0.0772451414027092,0.493070444678921,1608.3114094052448,5378.00203743418
0.3166023166023166,0.0936578390226636,0.5456165670885166,1742.5960385640665,5363.682974783875
0.3473359073359073,0.11134009855891949,0.5980141821703954,1867.8960248102912,5347.596068516272
0.3780694980694981,0.13020436703534108,0.6502455544211294,1984.3431845446194,5329.645407901917
0.4088030888030888,0.1501649864635291,0.7022919538505978,2092.179632653443,5309.72323133445
0.4395366795366795,0.1711391409931624,0.7541335365336441,2191.731795447866,5287.709195626601
0.4702702702702703,0.19304755936624007,0.8057492178920941,2283.3868195427094,5263.46963250808
0.5010038610038611,0.21581500049271435,0.8571165386993403,2367.572039379249,5236.856821103269
0.5317374517374518,0.2393705541742587,0.9082115241279402,2444.7377560964524,5207.708316086086
0.5624710424710425,0.2636477897379849,0.95900853660914,2515.3432824430165,5175.846385181227
0.5932046332046332,0.2885847837203813,1.009480123874841,2579.8460134162706,5141.077627265135
0.623938223938224,0.3141240546613966,1.0595968643450357,2638.6931724542483,5103.19286401321
0.6546718146718147,0.34021242929757783,1.109327213049784,2692.3158376620777,5061.967424192939
0.6854054054054055,0.36680086047562055,1.1586373525790192,2741.124851006498,5017.161970319234
0.7161389961389962,0.3938442133063959,1.207491055178542,2785.5082400377833,4968.524051874534
0.746872586872587,0.4213010326329138,1.2558495640895269,2825.829823000542,4915.790606083188
0.7776061776061777,0.44913330189248973,1.3036715045736957,2862.4287157151048,4858.6916632720895
0.8083397683397684,0.47730620093653986,1.350912837750474,2895.619506283656,4796.955544021388
0.8390733590733591,0.5057878683109812,1.397526873307591,2925.692908025092,4730.315851766791
0.8698069498069498,0.5345491718510961,1.4434643601527792,2952.916740327186,4658.520556073287
0.9005405405405407,0.5635634901529049,1.4886736768441833,2977.5371206334894,4581.343414022849
0.9312741312741314,0.5928065064899826,1.5331011457084884,2999.779778627275,4498.5978724456945
0.9620077220077221,0.6222560159976448,1.5766914952769868,3019.851426298803,4410.153414147164
0.9927413127413128,0.6518917463959684,1.6193884942276349,3037.9411355759257,4315.954041963472
1.0234749034749036,0.6816951921281613,1.6611357754729719,3054.2216893111326,4216.038230206541
1.0542084942084944,0.7116494615164731,1.7018778604643945,3068.8508822962904,4110.559227529942
1.084942084942085,0.741739136355711,1.7415613805180656,3081.9727572324846,3999.804109170218
1.1156756756756758,0.7719501432516598,1.7801364738879433,3093.7187667546823,3884.2095261815266
1.1464092664092664,0.8022696359503171,1.8175583152350923,3104.2088571443965,3764.37179270442
1.1771428571428573,0.8326858878798179,1.8537887100642998,3113.5524726237927,3641.048918168497
1.2078764478764479,0.8631881941292945,1.8887976639546702,3121.8494814095757,3515.1525475767266
1.2386100386100387,0.8937667821096158,1.922564819302979,3129.191026256456,3387.728580932875
1.2693436293436293,0.9244127301736471,1.9550806453615106,3135.6603032160638,3259.9264698640764
1.3000772200772202,0.9551178935138843,1.9863472742510568,3141.333272926633,3132.9586751379684
1.330810810810811,0.9858748366995334,2.0163788977602866,3146.2793090451232,3008.053245438452
1.3615444015444016,1.0166767722611119,2.0452016755334874,3150.561788517196,2886.403625490173
1.3922779922779924,1.0475175047765257,2.072853149835203,3154.2386283182277,2769.1203400455124
1.423011583011583,1.0783913799573348,2.099381208405627,3157.362773138193,2657.188986582216
1.4537451737451739,1.1092932382766811,2.124842677326685,3159.9826382588944,2551.4380423215916
1.4844787644787645,1.1402183727207205,2.1493016540020498,3162.142511612663,2452.5185673689266
1.5152123552123553,1.1711624902830757,2.172827702902755,3163.8829187316733,2360.8962840903987
1.5459459459459461,1.2021216768567216,2.195494033575372,3165.240954013316,2276.8550550520886
1.5766795366795368,1.2330923652098507,2.217375764435633,3166.2505814478354,2200.509708101221
1.6074131274131276,1.2640713057616773,2.238548351707163,3166.942907683253,2131.8255747146177
1.6381467181467182,1.295055539900985,2.2590862354948356,3167.346430047066,2070.642000913751
1.668880308880309,1.326042375614629,2.2790617287289416,3167.4872619066737,2016.6973519261228
1.6996138996138996,1.3570293652153937,2.29854415247003,3167.389337523491,1969.6535183857777
1.7303474903474905,1.3880142849785964,2.3175992043318816,3167.0745983551897,1929.1185057974653
1.7610810810810813,1.4189951165150585,2.3362885357630243,3166.5631625715323,1894.6662419762579
1.791814671814672,1.4499700297243916,2.3546695080143847,3165.8734793755284,1865.8532051285874
1.8225482625482627,1.4809373671873578,2.3727950947593706,3165.0224695703946,1842.231829306882
1.8532818532818534,1.5118956298694295,2.3907139003474365,3164.025653668854,1823.3608841328678
1.8840154440154442,1.5428434640196926,2.408470265509814,3162.8972687148053,1808.8131659210921
1.9147490347490348,1.5737796491600888,2.426104436094601,3161.650374872377,1798.1809012811136
1.9454826254826256,1.6047030870698036,2.443652774497276,3160.2969527354,1791.0792740293546
1.9762162162162162,1.6356127916784227,2.461147997401975,3158.8479922135593,1787.148461796809
2.006949806949807,1.6665078797894346,2.478619427059484,3157.3135737708653,1786.054525119398
2.0376833976833977,1.697387562562869,2.4960932464241066,3155.7029427165253,1787.489440614445
2.0684169884169887,1.7282511376923433,2.5135927510807803,3154.024577177668,1791.1705183361482
2.0991505791505793,1.7590979822176265,2.5311385929821424,3152.2862503245706,1796.8393952315382
2.12988416988417,1.7899275459191686,2.5487490126820007,3150.4950873660127,1804.2607542584446
2.1606177606177606,1.8207393452458063,2.5664400580111595,3148.6576177785173,1813.2208829889132
2.1913513513513516,1.851532957731189,2.5842257881090784,3146.7798231923516,1823.5261565838591
2.2220849420849422,1.882308016858407,2.602118462418177,3144.8671813176043,1835.001506284112
2.252818532818533,1.9130642073358588,2.6201287147505807,3142.924706255537,1847.488916526694
2.283552123552124,1.9438012607505932,2.638265712877587,3140.9569855089503,1860.8459795954404
2.3142857142857145,1.9745189515683046,2.656537304317267,3138.9682139779034,1874.9445263044909
2.345019305019305,2.0052170934518263,2.6749501491324166,3136.9622251982655,1889.6693431364256
2.3757528957528957,2.035895535872328,2.6935098406181814,3134.9425200589467,1904.9169809626183
2.4064864864864868,2.066554160989675,2.712221014791894,3132.912293211397,1920.5946561482851
2.4372200772200774,2.0971928807803457,2.731087449580142,3130.8744573653676,1936.6192420866864
2.467953667953668,2.1278116343931535,2.750112154577364,3128.831665649035,1952.9163477067777
2.4986872586872586,2.158410385714652,2.769297452203351,3126.7863321938057,1969.4194780125981
